x	y
0.262889	98249.583744
0.071369	52152.970360
0.084671	112806.397254
0.306387	129260.433245
0.087217	78999.571928
0.234470	78106.143487
0.085636	92255.320705
0.099041	96355.079845
0.169266	48373.174000
0.086844	139702.766175
0.072990	107830.044396
0.117882	81117.308325
0.188778	132010.189205
0.262137	57097.443999
0.220436	72221.694365
0.071399	102715.970200
0.196017	48173.473797
0.113527	79306.761774
0.159331	85469.948333
0.109108	120706.593039
0.108858	93634.849671
0.134439	93236.544105
0.240670	69088.473361
0.279414	80332.456225
0.189331	133288.232177
0.275945	45325.953792
0.071236	47223.065205
0.151836	95195.936845
0.093332	77041.715687
0.065768	63188.788409
0.080865	103357.743529
0.055950	59427.129879
0.326451	81923.656104
0.118817	103677.060096
0.085294	69370.159940
0.058706	126758.483081
0.374333	99431.712891
0.076867	55627.643214
0.177596	94772.804944
0.083296	90398.494192
0.177240	126531.182779
0.182288	84017.614569
0.188116	73895.305396
0.172213	97078.908136
0.071782	68300.443992
0.096358	104238.700305
0.243397	93538.864709
0.187320	101647.659690
0.064009	69239.270955
0.154671	76536.431194
0.108209	110381.591951
0.271189	66006.367424
0.188488	100059.009599
0.147212	21894.089640
0.088529	81815.259720
0.115708	44054.274759
0.108831	62811.803390
0.115555	112738.807801
0.137766	92492.191360
0.113127	79438.436695
0.308851	65612.477013
0.105077	118602.340038
0.094867	67536.629335
0.114301	103751.714629
0.142536	54742.392492
0.077483	147059.014660
0.205932	64959.954926
0.197545	49770.884364
0.121068	144773.651754
0.156864	52753.814304
0.171637	90219.407804
0.270378	124268.158012
0.248152	48210.125669
0.177830	59335.021466
0.118156	121225.881573
0.141781	77898.949372
0.150973	91005.188843
0.138117	69911.473309
0.141991	73578.842334
0.066465	68222.564878
0.198187	126694.054849
0.102228	81972.881800
0.191579	113529.254363
0.097745	87048.119365
0.151007	88612.100371
0.154198	83854.720457
0.181407	97274.834369
0.185153	111654.601004
0.252283	95964.245201
0.222293	82149.073161
0.326300	71529.828252
0.058715	99481.982817
0.169845	76844.850046
0.241984	77870.094972
0.055649	71894.516767
0.147518	49604.105935
0.117963	36300.472035
0.146678	114610.595146
0.181939	79129.681914
0.317767	131469.332501
0.064121	98612.860818
0.103598	57989.348596
0.085977	102897.866618
0.174366	108022.033279
0.127987	115502.136781
0.087279	88991.063107
0.161441	57746.302440
0.071189	55138.452876
0.206084	131715.067465
0.152915	87086.307149
0.150128	103445.963569
0.289838	68818.792458
0.232608	96673.974473
0.136575	127994.809447
0.103117	63153.685024
0.070543	91823.369614
0.080850	43948.125991
